LOCATION,SUBJECT,MEASURE,TIME,Value,Percentage
WLD,PIG,THND_TONNE,1990,63493.691,0.5735198403
WLD,BEEF,THND_TONNE,1990,4800.179,0.0433586054
WLD,SHEEP,THND_TONNE,1990,7827.282,0.07070153667
WLD,POULTRY,THND_TONNE,1990,34587.644,0.3124200176
WLD,PIG,THND_TONNE,2000,89208.777,0.3928216502
WLD,BEEF,THND_TONNE,2000,58775.737,0.2588128969
WLD,SHEEP,THND_TONNE,2000,11392.468,0.05016555804
WLD,POULTRY,THND_TONNE,2000,67720.422,0.2981998949
WLD,PIG,THND_TONNE,2010,108701.86,0.1097177055
WLD,BEEF,THND_TONNE,2010,65015.786,0.6562337445
WLD,SHEEP,THND_TONNE,2010,13169.637,0.1329271048
WLD,POULTRY,THND_TONNE,2010,100185.19,0.1011214451
WLD,PIG,THND_TONNE,2020,106279.27,0.09648324333
WLD,BEEF,THND_TONNE,2020,70881.971,0.6434860209
WLD,SHEEP,THND_TONNE,2020,15520.212,0.1408967516
WLD,POULTRY,THND_TONNE,2020,131229.76,0.1191339841
